id;title;bid_order;started_at;completed_at;sequence;external_id;deadline;workstation_id
1;Kwacha;Account Associate;;;96940;actuating microchip Main;2023-06-08T16:20:14;1
2;Hawaii Sausages connecting;Portugal Borders;;;23232;Rustic Antilles Home;2023-06-09T00:01:17;2
3;whiteboard Tokelau navigate;Ergonomic District sensor;;;16800;Leone;2023-06-09T07:50:35;3
4;invoice monitor;orchid;;;19953;Rustic salmon process;2023-06-09T11:23:28;1
5;Wooden monitoring;holistic virtual De-engineered;;;90266;Assimilated Account solu;2023-06-08T21:11:28;2
6;user-centric pixel;generate Indonesia;;;83761;Corporate Sri;2023-06-08T20:49:03;3
7;SAS Fish Som;flexibility Fantastic convergence;;;71011;networks Table;2023-06-08T14:22:57;1
8;distributed;index;;;69731;Berkshire orchestrate Tu;2023-06-08T21:06:28;2
9;Uruguayo Wooden deposit;sensor Fresh Shoes;;;18558;Bermuda Wooden 1080p;2023-06-08T14:57:43;3
10;TCP;Granite matrix;;;1826;Metal Shoes Oman;2023-06-08T17:32:30;1
